categ_id,name,default_code,lst_price,
MP,Kit con : Set de Bases Alta cobertura Ultra HD- Unificador de Texturas HD +Porta Cosmeticos Cristal,5001,1500.00,
MP,"Kit Escuela de 3 Paletas- Art.-1003P- 1106P - 1501P -  (15correctores y bases ,14  tonos de sombras, 32 tonos de labiales)",3003P,5850.00,
MM,Kit Escuela de 3 Paletas-Art.- 1102P - 1103P- 1104P- 42  tonos de sombras .,3004P,5850.00,
MM,"Kit Escuela de 3 Paletas-Art.- 1107P - 1108P- 1221P- (30 tonos de sombras ,15 tonos de cremoso multifuncion labios y pomulos.",3005P,5850.00,
MP,Diluyente Siliconado  -Apto HD a Prueba de Agua (Gotero) x 20cc.,2013P,429.00,
MP,Fluidificador de Texturas  -Apto HD (Botella con dosificador)  x 10g.,2014P,400.00,
MM,Diluyente para Sombra  -Apto HD  (Botella con dosificador) x 10cc.,2015P,272.00,
MP,Unificador de texturas HD (Botella con Gotero) x 20cc.,2112P,514.00,
MP,Fijador Multifunción  -Apto HD  (Botella pulverizadora) x 55cc.,2113P,400.00,
MM,Tonalizador Correctivo Beige Amarillento / Beige grisado Petaca Dúo x 4g.,1000-01,285.00,
MM,Tonalizador Correctivo Salmón / Tostado Petaca Dúo x 4g.,1000-02,285.00,
MM,Fluidificador de texturas.  Pre base. Botella con dosificador x 20g.,1014,600.00,
MM,Pre Base  Matificante Ultra HD - Claro Frasco x 19g.,1015-01,600.00,
MM,Pre Base  Matificante Ultra HD -Oscuro Frasco x 19g.,1015-02,600.00,
MM,"Sombra Compacta (Repuesto) Rosa Perlado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-106,168.00,
MM,"Sombra Compacta (Repuesto) Rosa Bebe Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-108,168.00,
MM,"Sombra Compacta (Repuesto) Anaranjado Claro Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-109,168.00,
MM,"Sombra Compacta (Repuesto) Verde Musgo Perlado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-110,168.00,
MM,"Sombra Compacta (Repuesto) Azul  Intenso Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-111,168.00,
MM,"Sombra Compacta (Repuesto) Celeste Perlado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-112,168.00,
MM,"Sombra Compacta (Repuesto) Cobre Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-114,168.00,
MM,"Sombra Compacta (Repuesto) Habano Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-115,168.00,
MM,"Sombra Compacta (Repuesto) Marfil Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-116,168.00,
MM,"Sombra Compacta (Repuesto) Rosa Mate Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-118,168.00,
MM,"Sombra Compacta (Repuesto) Blanco Perlado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-124,168.00,
MM,"Sombra Compacta (Repuesto) Violeta Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-127,168.00,
MM,"Sombra Compacta (Repuesto) Terracota Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-128,168.00,
MM,"Sombra Compacta (Repuesto) Rosa Bebe Semi-Mate Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-129,168.00,
MM,"Sombra Compacta (Repuesto) Oro Verde Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-132,168.00,
MM,"Sombra Compacta (Repuesto) Rosado Tornasol Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-134,168.00,
MM,"Sombra Compacta (Repuesto) Manteca Semi-Mate Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-135,168.00,
MM,"Sombra Compacta (Repuesto) Camel Intenso Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-136,168.00,
MM,"Sombra Compacta (Repuesto) Marrón Grisado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-139,168.00,
MM,"Sombra Compacta (Repuesto) Verde Semi-Mate Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-140,168.00,
MM,"Sombra Compacta (Repuesto) Rosa Semi-Mate Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-141,168.00,
MM,"Sombra Compacta (Repuesto) Bronce Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-143,168.00,
MM,"Sombra Compacta (Repuesto) Rosa Salmón Semimate Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-144,168.00,
MM,"Sombra Compacta (Repuesto) Champagne Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-CHS,168.00,
MM,"Sombra Compacta (Repuesto) Turquesa Satinado Intenso Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-TUS,168.00,
MM,"Sombra Compacta (Repuesto) Gris Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-GRS,168.00,
MM,"Sombra Compacta (Repuesto) Limón Satinado Hiperpigmentadas
Repuesto de 37 mm. x 4g.",1110-LIS,168.00,
MM,"Sombra Compacta (Repuesto) Dorada Intenso Apta HD. HIPERPIGMENTADAS
Repuesto de 33mmx 4g.",1110-101,168.00,
MM,"Sombra Compacta (Repuesto) Chocolate Mate Apta HD. HIPERPIGMENTADAS
Repuesto de 33mmx 4g.",1110-102,168.00,
MM,"Sombra Compacta (Repuesto) Borravino Satinado Apta HD. HIPERPIGMENTADAS
Repuesto de 33mmx 4g.",1110-103,168.00,
MM,"Sombra Compacta (Repuesto) Tostado Mate Apta HD. HIPERPIGMENTADAS
Repuesto de 33mmx 4g.",1110-117,168.00,
MM,"Sombra Compacta (Repuesto) Beige Mate Apta HD. HIPERPIGMENTADAS
Repuesto de 33mmx 4g.",1110-119,168.00,
MM,"Sombra Compacta (Repuesto) Natural Mate Apta HD. HIPERPIGMENTADAS
Repuesto de 33mmx 4g.",1110-123,168.00,
MM,"Sombra Compacta (Repuesto)  Anaranjado Pastel Mate Apta HD. HIPERPIGMENTADAS
Repuesto de 33mmx 4g. ",1110-126,168.00,
MM,"Sombra Compacta (Repuesto) Bordeaux Amarronado Apta HD. HIPERPIGMENTADAS
Repuesto de 33mmx 4g.",1110-137,168.00,
MM,"Sombra Compacta (Repuesto) Sandia Intenso Mate Hiperpigmentada -FANTASIA
Repuesto de 37 mm. x 4g.",1110-F01,198.00,
MM,"Sombra Compacta (Repuesto) Fucsia Mate Hiperpigmentada -FANTASIA
Repuesto de 37 mm. x 4g.",1110-F02,198.00,
MM,"Sombra Compacta (Repuesto) Fucsia Intenso Mate Hiperpigmentada -FANTASIA
Repuesto de 37 mm. x 4g.",1110-F03,198.00,
MM,Sombra Compacta (Repuesto) Anaranjado Coral Mate,1110-F05,198.00,
MM,"Sombra Compacta (Repuesto) Fucsia Intenso Satinado Hiperpigmentada -FANTASIA
Repuesto de 37 mm. x 4g.",1110-F06,198.00,
MM,"Sombra Compacta (Repuesto) Mostaza Satinado Hiperpigmentada -FANTASIA
Repuesto de 37 mm. x 4g.",1110-F07,198.00,
MM,"Sombra Compacta (Repuesto) Dorado Satinado Hiperpigmentada -FANTASIA
Repuesto de 37 mm. x 4g.",1110-F08,198.00,
MM,"Sombra Compacta (Repuesto) Petróleo Intenso Satinado Hiperpigmentada -FANTASIA
Repuesto de 37 mm. x 4g. ",1110-F09,198.00,
MM,"Sombra Compacta (Repuesto) Verde Pastel mate Hiperpigmentada -FANTASIA
Repuesto de 37 mm. x 4g.",1110-F10,198.00,
MM,"Sombra Compacta (Repuesto) Amarillo Intenso Mate Hiperpigmentada -FANTASIA
Repuesto de 37 mm. x 4g.",1110-F11,198.00,
MM,"Sombra Compacta (Repuesto) Negro Mate Hiperpigmentada PUROS
Repuesto de 37 mm. x 4g.",1110-P01,198.00,
MM,"Sombra Compacta (Repuesto) Blanco Mate Hiperpigmentada PUROS
Repuesto de 37 mm. x 4g.",1110-P02,198.00,
MM,"Sombra Compacta (Repuesto) Amarillo Mate Hiperpigmentada PUROS
Repuesto de 37 mm. x 4g.",1110-P03,198.00,
