categ_id,name,default_code,lst_price
MM,"Kit Escuela de 3 Paletas-Art.- 1107P - 1108P- 1221P- (30 tonos de sombras ,15 tonos de cremoso multifuncion labios y pomulos.",3005P,6500
MM,Diluyente para Sombras -Apto HD (Botella con dosificador) x 10cc.,2015P,172
MM,Tonalizador Correctivo Corrector Cremoso Duo- Petaca Dúo x 4g. @Beige Amarillento / Beige grisado,1000-01,300
MM,Tonalizador Correctivo Corrector Cremoso Duo- Petaca Dúo x 4g. @Salmón / Tostado,1000-02,300
MM,Fluidificador de texturas. Pre base.,1014,879
MM,Pre Base Matificante Ultra HD Botella con Dosificador x 19g. @Claro,1015-01,650
MM,Pre Base Matificante Ultra HD Botella con Dosificador x 19g. @Oscuro,1015-02,650
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Azul Intenso Satinado,1110-111,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Cobre Satinado,1110-114,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Habano Satinado,1110-115,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Marfil Satinado,1110-116,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Rosa Mate,1110-118,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Violeta Satinado,1110-127,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Terracota Satinado,1110-128,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Rosado Tornasol,1110-134,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Manteca Semi-Mate,1110-135,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Camel Intenso Satinado (Hasta agotar Stock),1110-136,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Marrón Grisado,1110-139,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Rosa Salmón Semimate,1110-144,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Champagne Satinado (hasta gotar stock),1110-CHS,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Turquesa Satinado Intenso,1110-TUS,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Limón Satinado,1110-LIS,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Gris Tiza con Perla Plata,1110-R01,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Negro Réflex,1110-R05,250
MM,Sombra Compacta Hiperpigmentadas Repuesto de 37 mm. x 4g. @Petróleo Intenso Réflex,1110-R06,250
MM,Sombra Compacta Apta HD. Hiperpigmentada Repuesto de 33mmx 4g. @Dorada Intenso,1110-101,250
MM,Sombra Compacta Apta HD. Hiperpigmentada Repuesto de 33mmx 4g. @Chocolate Mate,1110-102,250
MM,Sombra Compacta Apta HD. Hiperpigmentada Repuesto de 33mmx 4g. @Borravino Satinado,1110-103,250
MM,Sombra Compacta Apta HD. Hiperpigmentada Repuesto de 33mmx 4g. @Rosa Bebe Satinado,1110-108,250
MM,Sombra Compacta Apta HD. Hiperpigmentada Repuesto de 33mmx 4g. @Anaranjado Claro Satinado (Hasta agotar Stock),1110-109,250
MM,Sombra Compacta Apta HD. Hiperpigmentada Repuesto de 33mmx 4g. @Tostado Mate,1110-117,250
